Site ID,Suntel ID,Site Name,Site Address,District,Province,Latitude-x,Longitude-x,Latitude,Longitude
CM1309,,10th Lane Dialog,"No 01, 10th lane colombo 03",Colombo,Western,6-53-57,79-51-6,6.899167,79.851667
CM0944,,189 Residencies IBS,"Baseline Road, Colombo 08",Colombo,Western,6-55-25,79-52-39,6.923611,79.8775
CM0623,,1st Cross Street Dialog,"No: 76, Keyzer Street, Col-11",Colombo,Western,6-56-12,79-51-3,6.936667,79.850833
CM0677,,1st Cross Street South Dialog,"No-65, 1st Cross Street, Colombo-11.",Colombo,Western,6-56-7,79-51-4,6.935278,79.851111
CM1156,COL/029,2nd Cross Street DBN,"169,2nd cross Street Pettah",Colombo,Western,6-56-16,79-50-60,6.937778,79.85
CM0862,,2nd Cross Street Dialog,"No-106, 2nd Cross Street, Colombo-11.",Colombo,Western,6-56-12,79-51-8,6.936667,79.852222
CM0669,,3rd Cross Street Dialog,"No-70/72, 3rd Cross Street, Colombo-11",Colombo,Western,6-56-14,79-51-10,6.937222,79.852778
CM5006,,42nd Lane Lamp,"ESLL Lamp Pole Site, In Front of 42nd Lane, Colombo- 06",Colombo,Western,6-52-.93,79-51-32.71,6.866925,79.859086
CM0667,,4th Cross Street Dialog,"No-128, 4th Cross Street, Colombo-11.",Colombo,Western,6-56-14,79-51-12,6.937222,79.853333
CM1274,,7th Sense IBS,"7th Sense,No 18,Gregories Road,Colombo 07.",Colombo,Western,6-54-33,79-52-9,6.909167,79.869167
JA0066,,Aanakkoddai MTU,"Manipai Aanakoddai, Aanakkoddai, Jaffna.",Jaffna,Northern,9-42-2,79-59-52,9.700556,79.997778
CM1158,COL/035,Abans DBN,"498, Galle Road, Colombo 03",Colombo,Western,6-55-17,79-50-53,6.921389,79.848056
CM0025,,Abans Dialog,"No.498, Galle Road, Colombo 03",Colombo,Western,6-54-13,79-51-7,6.903611,79.851944
ICM0025,,Abans IBS,"No.498, Galle Road, Colombo 03",Colombo,Western,6-54-13,79-51-7,6.903611,79.851944
TR0097,,Abayapura Hutch,"No.52, Abayarama Mw, Abayapura",Trincomalee,Eastern,8-35-31,81-12-54,8.591944,81.215
CM0446,,Aberathna Mawatha Dialog,"No-2B/24, Pubudu Mw, Borelesgamuwa",Colombo,Western,6-50-17,79-53-54,6.838056,79.898333
RA0019,,Aberfoyle DBN,"Aberfoyle Estate, Sooriyakanda",Ratnapura,Sabaragamuwa,6-27-16,80-37-18,6.454444,80.621667
CM0123,,Access Dialog,"278, Union Place, Colombo 02",Colombo,Western,6-55-12,79-51-26,6.92,79.857222
ICM0123,,Access IBS,"278, Union Place, Colombo 02",Colombo,Western,6-55-12,79-51-26,6.92,79.857222
CM1417,,Access towers 2 Indoor,"Access Tower 2,Dawson Street. Colombo 2.",Colombo,Western,6-52-12,79-51-27,6.87,79.8575
JA0017,,Achchuweli MTU,"Hospital Road, Achchuweli South, Achchuweli.",Jaffna,Northern,9-46-14,80-6-50,9.770556,80.113889
JA0135,,Achchuweli Town Airtel,"Achchuweli North, Achchuweli , Jaffna",Jaffna,Northern,9-46-42,80-7-4,9.778333,80.117778
JA0191,,Achchuweli Town Airtel Relocation,"sannathi rd,achchuwely.",Jaffna,Northern,9-46-48,80-7-2,9.78,80.117222
GM0201,,Active Line Katunayaka Dialog,"MAS Active (Pvt) Ltd, Active, Phase-11, IPZ,Katunayake",Gampaha,Western,7-9-53,79-52-57,7.164722,79.8825
XX0100,,Adampan COW [Temp],"Dialog Temporary Tower, Adampan.",Mannar,Northern,0-0-0,0-0-0,0,0
MA0027,,Adampan Mobitel,"Mobitel Tower,Main Street,Adampan.",Mannar,Northern,8-56-32,79-59-51,8.942222,79.9975
AM0046,,Addaippaliam Dialog,"No 157, Coop Road, Nindavur 09.",Ampara,Eastern,7-20-28,81-51-24,7.341111,81.856667
AM0022,,Addalachchanai Dialog,"No-58A, Navaladi Road, Addalachchenai-14.",Ampara,Eastern,7-14-26,81-51-21,7.240556,81.855833
NU0069,,Adikarigama Hutch,"No-70, Adhikaragama, Gonaganthenna.",NuwaraEliya,Central,7-12-57,80-46-45,7.215833,80.779167
IHA0094,,Admin Complex IBS,"Administrative Complex, Siribopura, Hambantota",Hambantota,Southern,6-9-57,81-7-34,6.165833,81.126111
HA0094,,Admin Complex Outdoor Dialog,"Administrative Complex, Siribopura, Hambantota",Hambantota,Southern,6-9-57,81-7-34,6.165833,81.126111
KL0067,,Agalawatta Etisalat [Relocation],,Kaluthara,Western,6-32-3,80-9-33,6.534167,80.159167
KL0038,,Agalawattha Dialog,"No-48, Kaluthara Rd, Agalawatta.",Kaluthara,Western,6-32-29,80-9-13,6.541389,80.153611
GA0107,,Agaliya Dialog,"""Mottakanda""Agaliya North,Baddegama.",Galle,Southern,6-12-8,80-11-2,6.202222,80.183889
NU0033,,Agarapathana Etisalat,"Field No 07,St.George estate,Hautvill Group,Agarapathana.",NuwaraEliya,Central,6-52-29,80-41-51,6.874722,80.6975
JA0132,,AGBO Dialog,"SLNS, Agbo, Mathgal, Jaffna",Jaffna,Northern,9-47-4,79-56-16,9.784444,79.937778
TR0023,,Agbopura Dialog,"No-235, Agbopura",Trincomalee,Eastern,8-18-31,80-59-28,8.308611,80.991111
CM0425,,Aggona Dialog,"517A, Aggona, Angoda",Colombo,Western,6-54-57,79-55-24,6.915833,79.923333
CM0492,,Agulana Dialog,"No-212, Agulana Station Rd, Kaldamulla, Moratuwa.",Colombo,Western,6-47-59,79-52-36,6.799722,79.876667
GA0016,,Ahangama Dialog,"Veheragoda Purana Viharaya, Midigama, Ahangama",Galle,Southern,5-58-11,80-23-15,5.969722,80.3875
GA0067,,Ahangama Town Dialog,"No.06, Jinananda Mawatha, Karadugoda, Ahangama",Galle,Southern,5-58-43,80-21-51,5.978611,80.364167
GM0236,,Ahugammana Dialog,"No-119/1, Halummahara, Dekatana.",Gampaha,Western,6-59-22,80-2-28,6.989444,80.041111
GA0001,,Ahungalla Dialog,"Middaramulla, Ahungalla.",Galle,Southern,6-18-32,80-2-11,6.308889,80.036389
CM1886,,AIA HO Colombo Indoor,"No 92, AIA Tower Dharampala mawatha Colombo 03",Colombo,Western,6-54-46,79-51-22,6.912778,79.856111
CM0734,,Airforce HQ IBS,"P.O.Box 594, Colombo-02",Colombo,Western,6-55-41,79-51-5,6.928056,79.851389
GM0010,FTZ/001,Airport FTZ Dialog,"Export Processing Zone, Katunayake",Gampaha,Western,7-10-15,79-53-44,7.170833,79.895556
GM0353,,Airport Garden Hotel Dialog,"No.234, Negombo Rd, Seeduwa, SL",Gampaha,Western,7-8-44,79-52-19,7.145556,79.871944
IGM0353,,Airport Garden Hotel IBS,"No.234, Negombo Rd, Seeduwa, SL",Gampaha,Western,7-8-44,79-52-19,7.145556,79.871944
GM0002,,Airport Junction Dialog,"Dehena Educational Institute, 184, Col-Neg Rd, Air",Gampaha,Western,7-9-26,79-52-15,7.157222,79.870833
CM0700,,Aitken Spence IBS,"Vauxhall Street, Colombo-02,",Colombo,Western,6-55-12,79-51-38,6.92,79.860556
CM0763,,Aitken Spence Towers IBS,"315, Vauxhall Street, Colombo-02,",Colombo,Western,6-55-15,79-51-37,6.920833,79.860278
CM0743,,Akbar Dialog,"Akbar Brothers Bldg. T. B. Jayah Mw, Colombo 02",Colombo,Western,6-55-21,79-51-37,6.9225,79.860278
ICM0743,,Akbar IBS,"Akbar Brothers Bldg. T. B. Jayah Mw, Colombo 02",Colombo,Western,6-55-21,79-51-37,6.9225,79.860278
CM0181,,Akbar Mawatha Dialog,"No 119, Justice Akbar Mawatha,Colombo 02.",Colombo,Western,6-55-26,79-51-4,6.923889,79.851111
CM1072,,Akbar Mw Dialog [Relocation],"No-88, Justice Akber Mawatha ,Colombo-02",Colombo,Western,6-55-25,79-51-1,6.923611,79.850278
AM0115,AKK/001,Akkaraipaththu DBN,"Sri Wijayarama Maha Viharaya,Pothuvil Road,Akkaraipattuwa",Ampara,Eastern,7-12-58,81-51-5,7.216111,81.851389
AM0119,,Akkaraipaththu North Airtel,"Paradeshiya Saba, Akkaraipattu.",Ampara,Eastern,7-13-51,81-50-53,7.230833,81.848056
AM0072,,Akkaraipattu East Dialog,"Deen's Road, Akkaraipattu",Ampara,Eastern,7-13-13,81-51-21,7.220278,81.855833
AM0183,,Akkaraipattu Main Street Lankabell,"LB site, No. 65/B, CEB Road, Akkaraipatthu 1",Ampara,Eastern,7-13-17,81-51-1,7.22152,81.8504
AM0001,,Akkaraipattu SLT,"SLT Towers, Akkaraipattu",Ampara,Eastern,7-12-58,81-50-56,7.216111,81.848889
AM0021,,Akkaraipattu Town Dialog,"Main Road, Akkaraipattu",Ampara,Eastern,7-13-27,81-51-1,7.224167,81.850278
GM0444,,Akkarapanaha Etisalat,"No 260/A,Kimbulapitiya Rd,Akkara 50.",Gampaha,Western,7-12-13,79-51-54,7.203611,79.865
MU0056,,Akkarayankulam East Mobitel,"Mobitel Tower,7,SLNC Briged HQ,SL Army.Akkarayamkulam",Mulathive,Northern,9-18-23,80-20-47,9.306389,80.346389
KI0021,,Akkarayankulam Mobitel,"652 Brigade Headquarters, Sri Lanka Army, Akkarayankulam",Kilinochchi,Northern,9-18-36,80-15-59,9.31,80.266389
AM0057,,Akkarayapattu West Airtel,"Sigaya Rice Mill,Rice Mill Rd,Pallikuduirrupu",Ampara,Eastern,7-13-36,81-49-36,7.226667,81.826667
GA0019,,Akmeemana Dialog,"Ranasinghe watte, Ganamulla, Akmeemana",Galle,Southern,6-4-44,80-17-24,6.078889,80.29
GA0088,,Akmeemana West Dialog,"Wolter Freedom Estate, Ganegoda, Akmeemana",Galle,Southern,6-5-11,80-14-43,6.086389,80.245278
KA0001,,Akurana Dialog,"Kurundugahawela, Akurana.",Kandy,Central,7-21-44,80-37-26,7.362222,80.623889
KA0147,,Akurana North Dialog,"No.668/2, Malwanahena, Akurana",Kandy,Central,7-22-36,80-36-59,7.376667,80.616389
KA0121,AKR/002,Akurana Town DBN,"115/A, Udaweliketiya, Akurana",Kandy,Central,7-21-51,80-37-2,7.364167,80.617222
CM0941,,Akuregoda Airtel,"No 277,Akuregoda, Thalangama, Battaramulla.",Colombo,Western,6-53-42,79-56-24,6.895,79.94
CM0914,,Akuregoda East Dialog,"No.970/1/F Pothuarawa Road, Thalangama North, Malambe",Colombo,Western,6-53-39,79-56-41,6.894167,79.944722
CM0900,,Akuregoda North Dialog,"No 627/2-A, Muththettugoda Road, Thalangama North, Thalangama",Colombo,Western,6-54-17,79-56-31,6.904722,79.941944
MR0095,,Akuressa Dialog,"""Kalavalgoda"" Watta, Kalavalgoda Road, Akuressa.",Matara,Southern,6-6-14,80-28-27,6.103889,80.474167
MR0001,,Akuressa SLT,"Sri Lanka Telecom Ltd., Deniyaya Road, Akuressa",Matara,Southern,6-6-20,80-28-27,6.105556,80.474167
MR0045,,Akuressa South Dialog,"""Peellahena"", Malawva, Paraduwa, Akuressa",Matara,Southern,6-4-37,80-28-23,6.076944,80.473056
KA0021,,Aladeniya Dialog,"No.4, Kurundugolla, Werellagama, Kandy.",Kandy,Central,7-19-48,80-34-1,7.33,80.566944
MU0035,,Alampil North Dialog,"24th SLSR HQ , Sri Lanka Army, Alampi",Mulathive,Northern,9-10-11,80-51-20,9.169722,80.855556
PU0164,ALK/001,Alankuda DBN,,Puttlam,NorthWestern,0-0-0,0-0-0,0,0
PU0170,,Alankuda Dialog,"Ilanthadiya Road,Off Halpitiya,Norochchole.",Puttlam,NorthWestern,8-2-52,79-42-53,8.047778,79.714722
MR0072,,Alapaladeniya Mobitel,"""Hakuru Kanda"",Eedadukitha,Alapaladeniya.",Matara,Southern,6-17-54,80-26-45,6.298333,80.445833
JA0129,,Alavai East Dialog,"Puwatkarai, Puloly West, Point Pedro, Jaffna",Jaffna,Northern,9-49-32,80-13-17,9.825556,80.221389
GM0166,,Alawala Dialog,"No. 18/3, Karasnagala, Alawala, Veyangoda.",Gampaha,Western,7-7-4,80-10-18,7.117778,80.171667
KE0225,,Alawatatha Mobitel,"Mobitel tower,Rajagalkanda,Alawwa.",Kegalle,Sabaragamuwa,7-16-15.9,80-14-58.4,7.271083,80.249556
KA0022,AWG/001,Alawathugoda Mobitel,"Bangalamuduna, Arambepola, Alawathugoda.",Kandy,Central,7-23-33,80-36-49,7.3925,80.613611
KA0084,,Alawathugoda South Dialog,"Rathkohodigala, Udadigala, Akurana",Kandy,Central,7-22-56,80-38-13,7.382222,80.636944
JA0028,,Alawatti MTU,"Alukkai, Alawatti East, Alawatti",Jaffna,Northern,9-46-13,80-0-43,9.770278,80.011944
JA0164,,Alaweddi Town Airtel,"Airtel Tower,Alaweddi west,Alaweddai.",Jaffna,Northern,9-45-60,80-0-8,9.766667,80.002222
KU0279,,Alawwa Dialog [Relocation],"Sririsewana,kodaapaluwa,Alawwa",Kurunegala,NorthWestern,7-17-41,80-14-39,7.294722,80.244167
KU0017,,Alawwa Etisalat,"Celltel Tower, Narammala Road,Alawwa",Kurunegala,NorthWestern,7-17-53,80-14-9,7.298056,80.235833
