"Source1","Source2"
,
"Mullathivu_Town-MU0077-18G/1483-23-ODU-1(RTNRF-1)","Vattappalai_DTL-MU0041-18G/1483-23-ODU-1(RTNRF-1)"
,
"Galkulamakanda-AN0115-11G/421-23-ODU-1(RTNRF-1)","Maruthodal-VA0022-11G/421-23-ODU-1(RTNRF-1)"
,
"Galkulamakanda-AN0115-11G/421-24-ODU-1(RTNRF-1)","Maruthodal-VA0022-11G/421-24-ODU-1(RTNRF-1)"
,
"Sandalankawa-KU0015-18G/937-23-ODU-1(RTNRF-1)","Makandura-KU0036-18G/937-23-ODU-1(RTNRF-1)"
,
"Kodikamam-JA0052-18G/1685-23-ODU-1(RTNRF-1)","Manthuvil-JA0157-18G/1685-23-ODU-1(RTNRF-1)"
,
"Thorana_Jn-GM0045-23G/701-23-ODU-1(RTNRF-1)","Hunupitiya_South-GM0250-23G/701-23-ODU-1(RTNRF-1)"
,
"Thorana_Jn-GM0045-23G/701-24-ODU-1(RTNRF-1)","Hunupitiya_South-GM0250-23G/701-24-ODU-1(RTNRF-1)"
,
"Gothatuwa_South-CM0801-26G/561-23-ODU-1(RTNRF-1)","Battaramulla-CM0127-26G/561-23-ODU-1(RTNRF-1)"
,
"Gothatuwa_South-CM0801-26G/561-24-ODU-1(RTNRF-1)","Battaramulla-CM0127-26G/561-24-ODU-1(RTNRF-1)"
,
"Rambukkana Dialog-KE0005-18G/1767-23-ODU-1(RTNRF-1)","Deliwala-KE0056-18G/1767-23-ODU-1(RTNRF-1)"
,
"Ethul kotte_Ind-CM0189-26G/1473-23-ODU-1(RTNRF-1)","Battaramulla_West-CM0246-26G/1473-23-ODU-1(RTNRF-1)"
,
"Trinco_DBN-TR0066-18G/1763-23-ODU-1(RTNRF-1)","Orrs_Hill-TR0090-18G/1763-23-ODU-1(RTNRF-1)"
,
"Ja_Ela_North-GM0019-23G/1349-23-ODU-1(RTNRF-1)","Udammita-GM0196-23G/1349-23-ODU-1(RTNRF-1)"
,
"Trinco_Town_South_Dialog-TR0013-23G/923-23-ODU-1(RTNRF-1)","Trinco_Town_Dialog-TR0001-23G/923-23-ODU-1(RTNRF-1)"
,
"Trinco_Town_South_Dialog-TR0013-23G/923-24-ODU-1(RTNRF-1)","Trinco_Town_Dialog-TR0001-23G/923-24-ODU-1(RTNRF-1)"
,
"Ambul_Ambe-MT0106-15G/679-23-ODU-1(RTNRF-1)","Galewela-MT0002-15G/679-23-ODU-1(RTNRF-1)"
,
"Maharagama-CM0056-18G/970-23-ODU-1(RTNRF-1)","Pelanwatta-CM0409-18G/970-23-ODU-1(RTNRF-1)"
,
