"cell_tower_id1","cell_tower_id2","source1_name","source2_name","district1","district2","latitude1","latitude2","longitude1","longitude2","nearest_precip_station","distance","nearest_precip_lat","nearest_precip_long","id_1","id_2"
"MU0077","MU0041","Mullathivu_Town-MU0077-18G/1483-23-ODU-1(RTNRF-1)","Vattappalai_DTL-MU0041-18G/1483-23-ODU-1(RTNRF-1)","Mulathive","Mulathive",9.26787,9.273611,80.8161,80.76,434100,9.34456165800259E-05,9.267,80.817,1,1660
"AN0115","VA0022","Galkulamakanda-AN0115-11G/421-23-ODU-1(RTNRF-1)","Maruthodal-VA0022-11G/421-23-ODU-1(RTNRF-1)","Anuradapura","Vavnia",8.893056,9.004722,80.799167,80.669722,434180,0.000338042244953,8.539,81.182,2,1661
"AN0115","VA0022","Galkulamakanda-AN0115-11G/421-24-ODU-1(RTNRF-1)","Maruthodal-VA0022-11G/421-24-ODU-1(RTNRF-1)","Anuradapura","Vavnia",8.893056,9.004722,80.799167,80.669722,434180,0.000338042244953,8.539,81.182,3,1662
"KU0015","KU0036","Sandalankawa-KU0015-18G/937-23-ODU-1(RTNRF-1)","Makandura-KU0036-18G/937-23-ODU-1(RTNRF-1)","Kurunegala","Kurunegala",7.30633,7.32532,79.9528,79.9946,434410,0.000750062058939,7.467,80.367,4,1663
"JA0052","JA0157","Kodikamam-JA0052-18G/1685-23-ODU-1(RTNRF-1)","Manthuvil-JA0157-18G/1685-23-ODU-1(RTNRF-1)","Jaffna","Jaffna",9.68257,9.706389,80.2201,80.206111,434750,0.000381132756941,6.883,81.833,5,1664
"GM0045","GM0250","Thorana_Jn-GM0045-23G/701-23-ODU-1(RTNRF-1)","Hunupitiya_South-GM0250-23G/701-23-ODU-1(RTNRF-1)","Gampaha","Gampaha",6.968,6.97806,79.9058,79.9042,434500,7.38669989114394E-05,7.181,79.866,6,1665
"GM0045","GM0250","Thorana_Jn-GM0045-23G/701-24-ODU-1(RTNRF-1)","Hunupitiya_South-GM0250-23G/701-24-ODU-1(RTNRF-1)","Gampaha","Gampaha",6.968,6.97806,79.9058,79.9042,434500,7.38669989114394E-05,7.181,79.866,7,1666
"CM0801","CM0127","Gothatuwa_South-CM0801-26G/561-23-ODU-1(RTNRF-1)","Battaramulla-CM0127-26G/561-23-ODU-1(RTNRF-1)","Colombo","Colombo",6.9172,6.90607,79.9133,79.9149,434500,0.000116940779488,7.181,79.866,8,1667
"CM0801","CM0127","Gothatuwa_South-CM0801-26G/561-24-ODU-1(RTNRF-1)","Battaramulla-CM0127-26G/561-24-ODU-1(RTNRF-1)","Colombo","Colombo",6.9172,6.90607,79.9133,79.9149,434500,0.000116940779488,7.181,79.866,9,1668
"KE0005","KE0056","Rambukkana Dialog-KE0005-18G/1767-23-ODU-1(RTNRF-1)","Deliwala-KE0056-18G/1767-23-ODU-1(RTNRF-1)","Kegalle","Kegalle",7.31753,7.350069,80.3979,80.374806,434240,0.000711741387748,8.033,79.833,10,1669
