cell_tower_id1,cell_tower_id2,source1_name,source2_name,district1,district2,latitude1,latitude2,longitude1,longitude2,nearest_precip_station,distance,nearest_precip_lat,nearest_precip_long,id_1,id_2,PathLength
GM0311,GM0005,Ganewatta_Mobitel-GM0311-18G/1599-24-ODU-1(RTNRF-1),Biyagama-GM0005-18G/1599-24-ODU-1(RTNRF-1),Gampaha,Gampaha,6.950281,6.96481,79.976872,80.0093,Ibattara 2,9.816892974415277,6.908296,79.91918,68,1727,3.927201442860415
CM0156,CM0721,Mt_Lavinia-CM0156-23G/1449-24-ODU-1(RTNRF-1),Mt_Lavinia_Hotel_Ind-CM0721-23G/1449-24-ODU-1(RTNRF-1),Colombo,Colombo,6.84257,6.83317,79.8669,79.8619,Ibattara 2,9.8649433768169,6.908296,79.91918,1162,2821,1.1773250940052395
CM0046,CM0084,Kirulapana-CM0046-26G/913-25-ODU-1(RTNRF-1),Pamankada-CM0084-26G/913-25-ODU-1(RTNRF-1),Colombo,Colombo,6.878889,6.876667,79.874722,79.866111,Ibattara 2,6.358906573644501,6.908296,79.91918,122,1781,0.9829315587294583
CM0158,CM0093,Narahenpita-CM0158-23G/1307-24-ODU-1(RTNRF-1),Polhengoda_East-CM0093-23G/1307-24-ODU-1(RTNRF-1),Colombo,Colombo,6.89684,6.885278,79.8767,79.880556,Ibattara 2,4.870305501332839,6.908296,79.91918,1581,3240,1.347794818626054
CM0878,CM0096,Windsor_ Avenue-CM0878-26G/1353-23-ODU-1(RTNRF-1),Quarry_Road-CM0096-26G/1353-23-ODU-1(RTNRF-1),Colombo,Colombo,6.855556,6.859167,79.8625,79.864722,Ibattara 2,8.333587378073734,6.908296,79.91918,1455,3114,0.46881727304978066
CM0536,CM0174,Bullers_Rd_South-CM0536-23G/1051-25-ODU-1(RTNRF-1),Thursten-CM0174-23G/1051-25-ODU-1(RTNRF-1),Colombo,Colombo,6.898611,6.903611,79.869167,79.8575,Ibattara 2,6.222953055601055,6.908296,79.91918,1072,2731,1.4029797591659197
GM0170,GM0126,Mabima-GM0170-18G/1967-HY-24-ODU-1(RTNRF-1),KADAWATA_STH-GM0126-18G/1967-HY-24-ODU-1(RTNRF-1),Gampaha,Gampaha,6.94567,6.99,79.9686,79.9575,Ibattara 2,8.17671316489202,6.908296,79.91918,260,1919,5.0535958590293015
CM1032,CM0173,Devos_Lane-CM1032-26G/1228-24-ODU-1(RTNRF-1),Thummulla-CM0173-26G/1228-24-ODU-1(RTNRF-1),Colombo,Colombo,6.892222,6.894722,79.858333,79.861111,Ibattara 2,6.7726133862769355,6.908296,79.91918,928,2587,0.4131622405230082
CM1031,CM0158,Narahenpita_Jn-CM1031-26G/765-24-ODU-1(RTNRF-1),Narahenpita-CM0158-26G/765-24-ODU-1(RTNRF-1),Colombo,Colombo,6.892778,6.89684,79.876111,79.8767,Ibattara 2,4.957077186938383,6.908296,79.91918,1285,2944,0.45390975232805847
GM0170,GM0126,Mabima-GM0170-18G/1967-HY-23-ODU-1(RTNRF-1),KADAWATA_STH-GM0126-18G/1967-HY-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.94567,6.99,79.9686,79.9575,Ibattara 2,8.17671316489202,6.908296,79.91918,259,1918,5.0535958590293015
