Station ID,Country Id,Station Name,Latitude,Longitude,Elevation
434000,99999,KANKASANTURAI,9.8,80.067,15
434040,99999,JAFFNA,9.65,80.017,3
434100,99999,MULLAITTIVU,9.267,80.817,2
434130,99999,MANNAR,8.983,79.917,3
434150,99999,VAVUNIYA,8.75,80.5,98
434180,99999,CHINA,8.539,81.182,1.8
434210,99999,ANURADHAPURA,8.301,80.428,98.8
434220,99999,MAHA,8.117,80.467,117
434240,99999,PUTTALAM,8.033,79.833,2
434360,99999,BATTICALOA,7.706,81.679,6.1
434410,99999,KURUNEGALA,7.467,80.367,116
434440,99999,KANDY,7.333,80.633,477
434500,99999,BANDARANAIKE  INTL COLOMBO,7.181,79.866,8.8
434660,99999,COLOMBO,6.9,79.867,7
434670,99999,COLOMBO RATMALANA,6.822,79.886,6.7
434730,99999,NUWARA ELIYA,6.967,80.767,1880
434750,99999,POTTUVIL,6.883,81.833,8
434760,99999,DIYATALAWA,6.817,80.967,1250
434790,99999,BADULLA,6.983,81.05,667
434860,99999,RATNAPURA,6.683,80.4,88
434950,99999,GALLE,6.033,80.217,13
434970,99999,HAMBANTOTA,6.117,81.133,20
